group,reader_role,reader_boundary
passive,用電容、電阻與電感管理電源、訊號和雜訊，是多數電子系統的基礎零件。,元件出現在系統裡，不等於已通過特定平台驗證或取得訂單。
power,用功率半導體切換、整流與控制電力，位在各級電源轉換與保護路徑裡。,它是轉換核心元件，不等於一套完整的電源供應器。
packtest,把晶粒封裝、互連並測試成可交付元件，也承接先進封裝整合。,具備某種封裝或測試能力，不等於已進入客戶量產。
memory,保存運算需要的資料，涵蓋 DRAM、Flash、模組與控制器等不同層次。,HBM、一般 DRAM、SSD 與控制器用途不同，不能合併解讀。
ipdesign,提供可授權 IP、ASIC 設計服務與高速介面方案，協助晶片和系統被設計出來。,完成設計或擁有 IP，不等於晶片已量產或客戶已採用。
semiequip,提供製造、清洗、檢測、量測與測試介面設備，支撐晶圓和封裝製程。,製程需要更多設備，不等於設備商已取得具名訂單。
material,供應矽晶圓、電子化學品與耗材，成為晶圓製造和封裝的投入材料。,材料規格升級，不等於已通過客戶量產驗證。
thermal,把晶片與機櫃產生的熱帶走，涵蓋風冷、熱管、均熱板和液冷系統。,散熱需求存在，不等於某種技術或供應商已經勝出。
pcb,用電路板、銅箔基板與載板連接並支撐晶片、元件和系統訊號。,材料規格合格，不等於整板訊號與量產良率都過關。
powersupply,把輸入電力轉成伺服器各層所需電壓，並處理備援、保護與電源管理。,PSU、BBU、配電與功率元件分屬不同責任層，不能混成一項需求。
serverodm,把運算、網路、電源、散熱與機構整合成可交付的伺服器或整櫃系統。,列入參考設計或合作名單，不等於已完成客戶部署。
