stock_id,group,biz,note
8112,memory,記憶體通路(三星代理),至上——R1 純通路商存疑,2026-07-05 覆核不收,下季再議
8054,memory,NAND控制IC/讀卡機,安國——記憶體營收占比>50% 存疑,2026-07-05 覆核不收,下季再議
6485,memory,NAND控制IC,點序——2026-07-05 市值 39 億未達納入線
8088,memory,記憶體模組,品安——2026-07-05 市值 36 億未達納入線
6196,semiequip,廠務系統工程,帆宣——R1 工程服務非設備,2026-07-05 覆核不收;若收應與漢唐 2404 成對評估
2467,semiequip,壓合/烤箱設備,志聖——R1 半導體+PCB兼營占比存疑,2026-07-05 覆核不收,下季再議
6438,semiequip,自動化搬運設備,迅得——R1 PCB為主,2026-07-05 覆核不收
5443,semiequip,面板/半導體設備,均豪——R1 兼營占比存疑,2026-07-05 覆核不收,下季再議
2360,semiequip,量測設備,致茂——R1 產品線多元(電池/EV/光電),2026-07-05 覆核不收,下季再議
8027,semiequip,雷射/半導體設備,鈦昇——R1 業務雜,2026-07-05 覆核不收
5483,material,矽晶圓/太陽能(控股),中美晶——R1 控股+與子公司環球晶重疊,2026-07-06 覆核不收
5434,material,半導體材料通路,崇越——R1 通路商(同至上前例),2026-07-06 覆核不收,下季再議
3010,material,電子材料通路,華立——R1 通路商,2026-07-06 覆核不收,下季再議
3551,material,製程零件清洗,世禾——R1 服務型(同帆宣前例),2026-07-06 覆核不收
6230,thermal,散熱模組,尼得科超眾——2026-07-06 20日中位成交值 9M 未達流動性線
6591,thermal,伺服器機構/液冷,動力-KY——2026-07-06 市值 23 億未達納入線
3715,pcb,車用/伺服器板,定穎投控——原 6251 改制投控後新代號,下季以 3715 評估
3081,cpo,InP/GaAs化合物半導體磊晶,聯亞——CPO供應鏈探索(2026-07-10 使用者請求),未經 R1 覆核
2455,cpo,InP/GaAs化合物半導體磊晶,全新——CPO供應鏈探索(2026-07-10),未經 R1 覆核
4971,cpo,InP/GaAs化合物半導體磊晶,英特磊-KY——CPO供應鏈探索(2026-07-10),未經 R1 覆核
3163,cpo,光收發模組(矽光子),波若威——CPO供應鏈探索(2026-07-10),未經 R1 覆核
3450,cpo,光收發模組,聯鈞——CPO供應鏈探索(2026-07-10),未經 R1 覆核
4979,cpo,高速光模組(400G/800G),華星光——CPO供應鏈探索(2026-07-10),未經 R1 覆核
4908,cpo,光通訊元件/模組,前鼎——CPO供應鏈探索(2026-07-10),未經 R1 覆核
4977,cpo,矽光子供應鏈,眾達-KY——CPO供應鏈探索(2026-07-10),未經 R1 覆核
3363,cpo,光纖陣列(FAU)精密對準接合,上詮——CPO供應鏈探索(2026-07-10),未經 R1 覆核
6789,cpo,晶圓級光學元件(濾光膜/微透鏡/Metalens),采鈺——CPO供應鏈探索(2026-07-10);台積電轉投資,未經 R1 覆核
3008,cpo,微稜鏡準直鏡頭(FAU),大立光——CPO供應鏈探索(2026-07-10);CPO仍送樣未量產,未經 R1 覆核
6442,cpo,矽光子元件,光聖——CPO供應鏈探索(2026-07-10),未經 R1 覆核
3587,cpo,材料/失效分析,閎康——CPO供應鏈探索(2026-07-10),未經 R1 覆核
3289,cpo,材料/驗證測試,宜特——CPO供應鏈探索(2026-07-10),未經 R1 覆核
6830,cpo,材料分析,汎銓——CPO供應鏈探索(2026-07-10),未經 R1 覆核
